capture,donor,sex,n_cells
capture1,S10,M,4
capture1,S14,F,1
capture1,S15,F,6
capture1,S16,M,2
capture1,S17,M,2
capture1,S19,M,3836
capture1,S2,M,3
capture1,S3,M,1
capture1,S5,M,1
capture1,S7,M,3
capture1,S8,F,4047
capture1,S9,M,5
capture10,S1,M,3060
capture10,S10,M,2794
capture10,S11,F,3121
capture10,S17,M,3
capture10,S2,M,2
capture10,S3,M,2
capture10,S7,M,10
capture11,S12,F,2312
capture11,S2,M,1342
capture11,S3,M,2038
capture12,S1,M,5
capture12,S11,F,3
capture12,S12,F,2542
capture12,S13,F,12
capture12,S14,F,3
capture12,S15,F,4
capture12,S16,M,1
capture12,S18,M,5
capture12,S19,M,3
capture12,S2,M,2229
capture12,S20,M,9
capture12,S3,M,2683
capture12,S6,F,2
capture12,S8,F,3
capture13,S1,M,1
capture13,S11,F,9
capture13,S14,F,3275
capture13,S15,F,3
capture13,S16,M,3
capture13,S17,M,3047
capture13,S18,M,2884
capture13,S2,M,6
capture13,S3,M,6
capture13,S5,M,2
capture13,S8,F,3
capture14,S1,M,3
capture14,S14,F,3350
capture14,S16,M,3
capture14,S17,M,2477
capture14,S18,M,2907
capture14,S8,F,2
capture2,S19,M,1
capture2,S5,M,1
capture2,S8,F,2570
capture2,S9,M,2376
capture3,S1,M,2
capture3,S12,F,6
capture3,S13,F,6
capture3,S15,F,2998
capture3,S16,M,3
capture3,S17,M,1
capture3,S18,M,2
capture3,S2,M,5
capture3,S20,M,3114
capture3,S5,M,4
capture3,S6,F,2
capture4,S15,F,3173
capture4,S20,M,3197
capture5,S1,M,1
capture5,S11,F,1
capture5,S12,F,2
capture5,S13,F,3113
capture5,S14,F,3
capture5,S15,F,3
capture5,S16,M,2833
capture5,S18,M,1
capture5,S2,M,2
capture5,S20,M,9
capture5,S21,M,2060
capture5,S5,M,2
capture5,S6,F,8
capture5,S7,M,3
capture5,S8,F,3
capture6,S1,M,1
capture6,S10,M,1
capture6,S11,F,5
capture6,S12,F,2
capture6,S13,F,1631
capture6,S14,F,4
capture6,S15,F,11
capture6,S16,M,3719
capture6,S17,M,7
capture6,S18,M,2
capture6,S19,M,4
capture6,S2,M,5
capture6,S20,M,6
capture6,S21,M,2275
capture6,S3,M,3
capture6,S5,M,8
capture6,S6,F,2
capture6,S8,F,5
capture6,S9,M,3
capture7,S1,M,1
capture7,S10,M,2
capture7,S11,F,2
capture7,S13,F,3
capture7,S15,F,3
capture7,S16,M,2
capture7,S17,M,2
capture7,S18,M,2
capture7,S2,M,3
capture7,S20,M,2
capture7,S21,M,1
capture7,S3,M,2
capture7,S5,M,3329
capture7,S6,F,2849
capture7,S7,M,2410
capture8,S1,M,1
capture8,S12,F,3
capture8,S13,F,2
capture8,S14,F,1
capture8,S15,F,3
capture8,S16,M,2
capture8,S17,M,1
capture8,S18,M,1
capture8,S20,M,5
capture8,S21,M,2
capture8,S3,M,5
capture8,S5,M,2177
capture8,S6,F,3483
capture8,S7,M,2341
capture8,S8,F,2
capture9,S1,M,1915
capture9,S10,M,1880
capture9,S11,F,1938
capture9,S17,M,1
capture9,S18,M,1
capture9,S2,M,1
capture9,S3,M,1
capture9,S7,M,5
